P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif
7.53,1.18,16.60521298419211,11.17,5.17,7.6,0.36,1.19,0.91,1.0,-1.19,1.37,10.20935542857143,5.99,0.3,0.66,2.03,29.8,-30.19358475630441,17.58,12.07,15.66,4.72,7.37,0.39,28.94,24.05,71.71434,1,0,0.47766747905648993
12.18,1.41,3.93,6.13,6.42,11.08,0.65,1.28,1.61,3.18,-1.0,-0.06,-0.18,-0.29,0.46,0.54,2.41,53.56,39.09,25.05,13.2,11.57,5.34,13.32,0.4,4.15,0.49,27.75,1,0,0.38054054054054054
26.19,2.73,8.81,13.25,13.72,10.17,1.4,1.06,2.8,15.0,-1.87,-0.09,-0.32,-0.48,0.51,0.49,1.59,54.5,30.66,20.4,10.69,10.42,5.33,17.42,0.5,12.6,-8.61,15.55,1,0,1.0045016077170417
10.72,1.47,4.95,6.55,9.16,10.59,0.89,1.45,1.71,2.93,-1.68,-0.42,-1.97,-2.61,0.61,0.39,2.81,54.3,24.72,18.67,15.94,13.69,8.28,12.85,0.52,22.55,11.59,31.299999,1,0,0.8865814979738498
19.85,2.6,10.35,12.98,15.31,12.05,1.56,1.58,3.18,4.04,-3.15,-0.4,-1.86,-2.33,0.6,0.4,4.29,54.81,26.07,20.79,16.03,13.09,7.87,13.8,0.49,34.17,25.18,17.545177,1,0,0.8862834498620334
10.14,2.46,6.4,7.7,7.87,7.59,1.16,1.84,2.08,6.93,-1.78,-0.05,-0.14,-0.17,0.47,0.53,1.92,54.56,31.75,26.39,20.48,24.25,11.42,22.44,0.56,43.72,48.84,7.322377,1,0,4.27456808082949
5.99,1.27,3.88,4.88,4.42,6.05,0.52,1.29,0.95,4.25,-0.71,0.13,0.36,0.46,0.41,0.59,1.84,53.2,26.88,21.38,15.79,21.27,8.71,18.13,0.55,48.5,35.16,28.138851,1,0,0.6235214437149548
17.32,5.91,14.48,16.03,16.15,5.0,2.97,1.71,5.25,22.78,-4.16,-0.05,-0.11,-0.13,0.5,0.5,1.83,62.09,36.02,32.53,30.33,34.13,17.12,29.0,0.56,42.09,48.41,22.347515,1,0,0.32765956304313926
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.637188375012069,7.512599199733244,119993.89719612764,110018.74129170092,-0.43,-1.23,-1.41,0.56,0.44,4.4,60.55,34.38,30.08,25.47,25.77,14.48,23.64,0.57,8.991378868978357,13.030695948035882,17.107737,1,0,0.5219565860756452
-0.1,-0.07,-0.87,-0.79,-0.11,-8.6,0.12,-6.62,0.16,-0.59,-0.22,0.824658251231527,-0.72,-0.65,-1.64,2.64,0.68,30.89,-139.61,-155.25,-170.34,-76.98,-125.93,142.46,0.74,-32.61,13.030695948035882,74.901123,1,0,0.08277579496371504
-0.1,-0.07,-0.87,-0.79,-0.11,-8.6,0.12,-6.62,0.16,-0.59,-0.22,0.824658251231527,-0.72,-0.65,-1.64,2.64,0.68,30.89,-139.61,-155.25,-170.34,-76.98,-125.93,142.46,0.74,-32.61,13.030695948035882,74.901123,1,0,0.08277579496371504
-0.18,-0.33,-1.2,-1.08,-0.11,-6.47,0.07,-11.91,0.09,-1.91,-0.09,0.824658251231527,-1.02,-0.92,-0.2,1.2,0.89,29.79,-67.71,-75.15,-47.49,-184.19,-37.32,-165.4,0.79,-18.14,13.030695948035882,76.301147,1,0,0.2935779589263579
-0.18,-0.33,-1.2,-1.08,-0.11,-6.47,0.07,-11.91,0.09,-1.91,-0.09,0.824658251231527,-1.02,-0.92,-0.2,1.2,0.89,29.79,-67.71,-75.15,-47.49,-184.19,-37.32,-165.4,0.79,-18.14,13.030695948035882,76.301147,1,0,0.2935779589263579
-0.19,0.48,16.60521298419211,-0.66,-0.28,4.53,0.06,-11.3,0.04,-0.18,-0.12,0.64,10.20935542857143,-0.38,0.12,0.88,0.6,28.5,-30.19358475630441,-14.23,-20.87,-249.56,-30.83,-84.67,1.48,-7.58,13.030695948035882,148.402222,1,0,0.5047169913668813
-0.19,0.48,16.60521298419211,-0.66,-0.28,4.53,0.06,-11.3,0.04,-0.18,-0.12,0.64,10.20935542857143,-0.38,0.12,0.88,0.6,28.5,-30.19358475630441,-14.23,-20.87,-249.56,-30.83,-84.67,1.48,-7.58,13.030695948035882,148.402222,1,0,0.5047169913668813
-2.18,0.27,16.60521298419211,-19.36,-5.94,15.81,0.08,-1.95,0.07,0.51,-0.26,0.59,10.20935542857143,-13.04,0.3,0.7,1.3,33.32,-30.19358475630441,-1.11,-3.02,-12.32,-3.72,-5.02,1.23,-2.16,13.030695948035882,128.45192,1,0,0.5940055002681158
