P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif_disc
32.06,0.39,16.60521298419211,18.08,4.37,16.52,0.1,0.2,0.1,0.47,-0.43,1.11,10.20935542857143,12.45,0.25,0.75,1.37,35.39,-30.19358475630441,2.32,0.32,1.22,0.31,1.97,0.97,7.85,-35.48,908.963623,1,0,0.0
57.03,1.44,16.60521298419211,22.55,15.12,18.03,0.56,0.46,0.35,1.86,-1.97,0.82,10.20935542857143,8.6,0.39,0.61,1.73,42.14,-30.19358475630441,2.29,0.61,2.53,0.98,4.82,1.62,8.991378868978357,13.030695948035882,908.263611,1,0,0.0
57.03,1.44,16.60521298419211,22.55,15.12,18.03,0.56,0.46,0.35,1.86,-1.97,0.82,10.20935542857143,8.6,0.39,0.61,1.73,42.14,-30.19358475630441,2.29,0.61,2.53,0.98,4.82,1.62,8.991378868978357,13.030695948035882,908.263611,1,0,0.0
-1.23,-0.42,16.60521298419211,56.73517328028479,-3.17,-6.42,0.09,-2.18,0.42,-0.2,-0.1,0.824658251231527,-1.9,-0.48,-0.22,1.24,0.13,57.5,-3.35,-13.29,-34.16,-34.02,-7.42,13.46,0.22,-2.98,13.030695948035882,3.31,1,0,0.0
-144.0,-7.82,16.60521298419211,56.73517328028479,21.73,-0.42,1.05,-0.02,4.23,-4.09,-1.19,0.824658251231527,0.29,0.41,-0.13,1.15,0.3,66.09,27.41,19.48,-2.94,-5.43,-0.73,-33.44,0.25,1.98,13.030695948035882,3.5,1,0,0.0
-27.0,-8.74,16.60521298419211,56.73517328028479,952.64,-0.4,1.12,-0.13,4.44,-4.9,-1.27,0.824658251231527,0.79,13.47,-0.13,1.15,0.34,66.04,7.94,0.47,-16.46,-32.38,-4.16,0.96,0.25,4.65,13.030695948035882,4.2,1,0,0.0
-92.75,-1.55,16.60521298419211,56.73517328028479,3.16,-0.27,0.14,0.0,0.45,-0.76,-0.16,0.824658251231527,0.25,0.35,-0.09,1.1,0.38,70.18,20.32,14.4,-0.49,-1.67,-0.15,-51.3,0.31,10.73,13.030695948035882,8.3,1,0,0.0
1.36,-3.12,16.60521298419211,56.73517328028479,1.36,-0.27,0.28,0.61,0.98,-1.45,-0.32,0.824658251231527,10.20935542857143,0.04,-0.09,1.1,0.34,69.69,-30.19358475630441,71.88,71.83,-229.36,20.86,-198.15,0.29,10.0,13.030695948035882,5.9,1,0,0.0
-0.75,0.76,16.60521298419211,-1.98,-0.74,26.95,0.2,-27.11,0.73,1.1,-0.5,1.27,10.20935542857143,-1.24,0.26,0.74,1.38,-15.3,-30.19358475630441,-98.52,-96.7,-100.62,-26.41,-42.78,0.27,-22.46,13.030695948035882,13.344155,1,0,0.0
-0.75,0.76,16.60521298419211,-1.98,-0.74,26.95,0.2,-27.11,0.73,1.1,-0.5,1.27,10.20935542857143,-1.24,0.26,0.74,1.38,-15.3,-30.19358475630441,-98.52,-96.7,-100.62,-26.41,-42.78,0.27,-22.46,13.030695948035882,13.344155,1,0,0.0
-0.6,0.36,16.60521298419211,-4.38,-1.48,5.1,0.14,-3.08,0.77,0.63,-0.39,0.72,10.20935542857143,-2.91,0.37,0.63,1.48,-12.4,-30.19358475630441,-52.01,-127.07,-60.34,-22.33,-16.15,0.18,-20.81,13.030695948035882,17.433493,1,0,0.0
-0.6,0.36,16.60521298419211,-4.38,-1.48,5.1,0.14,-3.08,0.77,0.63,-0.39,0.72,10.20935542857143,-2.91,0.37,0.63,1.48,-12.4,-30.19358475630441,-52.01,-127.07,-60.34,-22.33,-16.15,0.18,-20.81,13.030695948035882,17.433493,1,0,0.0
